!!SBtab	SBtabVersion='0.9.1' TableID='Reaction' TableType='Reaction' TableName='transformed standard Gibbs free energies of reaction, dG0_prime' QuantityType='standard Gibbs free energy of reaction' Unit='kJ/mol' pH='7.0' Temperature='298.15' TemperatureUnit='kelvin' 'IonicStrength='0.1' IoniStrengthUnit='mM' UniqueKeys='False'			
!Identifiers:kegg.reaction	!Mean	   !Std	!Comment
R00002	-766.9	47.4	
R00004	-15.8	0.4	
R00005	-78.8	15.2	
R00006	32.2	7.4	
R00008	16.3	4.7	
R00009	-193.1	13.3	
R00010	-11.7	2.1	
R00011			uncertainty is too high
R00012	15.0	15.0	
R00013	-19.6	8.8	
R00014			uncertainty is too high
R00015	-6.2	10.7	
R00016	-1.2	5.2	
R00017			uncertainty is too high
R00018	-0.8	15.6	
R00019	12.6	13.0	
R00021	71.3	11.8	
R00022	-13.6	18.3	
R00023			uncertainty is too high
R00024	-28.3	7.5	
R00025			uncertainty is too high
R00026	-12.9	3.7	
R00027	7.8	20.1	
R00028	-14.6	3.1	
R00029			uncertainty is too high
R00031	-522.5	15.4	
R00032	-364.6	88.8	
R00033			uncertainty is too high
R00034			uncertainty is too high
R00036	-109.0	9.7	
R00038	-10.0	4.4	
R00039	1.0	6.3	
R00041			uncertainty is too high
R00042	-671.6	20.3	
R00043	-368.5	26.8	
R00044			uncertainty is too high
R00045	-383.9	20.7	
R00047			uncertainty is too high
R00048	-49.4	9.7	
R00049	-8.2	39.2	
R00052			uncertainty is too high
R00053	-57.7	33.2	
R00054	-58.1	24.7	
R00055	-423.3	10.5	
R00056			uncertainty is too high
R00057			uncertainty is too high
R00058	-277.5	24.5	
R00059	3.6	11.1	
R00060			uncertainty is too high
R00061			uncertainty is too high
R00062	0.0	162.8	
R00063	-6.5	7.8	
R00066	-162.4	34.0	
R00067	98.7	5.8	
R00068			uncertainty is too high
R00069	162.7	15.4	
R00070	-659.9	97.2	
R00072			uncertainty is too high
R00073			uncertainty is too high
R00074			uncertainty is too high
R00075			uncertainty is too high
R00076			uncertainty is too high
R00077			uncertainty is too high
R00078	-46.2	33.5	
R00080			uncertainty is too high
R00081			uncertainty is too high
R00082			uncertainty is too high
R00083			uncertainty is too high
R00084	-128.2	45.0	
R00085	-50.2	1.2	
R00086	-26.4	0.6	
R00087	-34.5	1.1	
R00088	-57.8	7.0	
R00089	7.0	2.0	
R00090	-326.5	6.4	
R00091	-6.3	6.6	
R00092	206.9	16.4	
R00093	49.4	1.8	
R00094	16.5	1.7	
R00095			uncertainty is too high
R00097			uncertainty is too high
R00099			uncertainty is too high
R00100			uncertainty is too high
R00101			uncertainty is too high
R00102	-35.1	6.3	
R00103	-36.0	5.9	
R00104	-11.8	5.8	
R00105	-10.9	5.8	
R00106			uncertainty is too high
R00107			uncertainty is too high
R00108			uncertainty is too high
R00109			uncertainty is too high
R00111			uncertainty is too high
R00112	-1.0	0.7	
R00113	-327.5	6.5	
R00114	50.3	1.9	
R00115	17.4	1.6	
R00118	-14.6	5.8	
R00119	-32.7	6.5	
R00120	-117.0	8.4	
R00122	-23.8	0.6	
R00123	-61.5	7.6	
R00125	-36.1	18.3	
R00126	9.7	18.3	
R00127	-2.6	0.3	
R00128	-32.4	5.8	
R00129	-55.4	25.2	
R00130	3.6	5.8	
R00131	-29.9	9.0	
R00132			uncertainty is too high
R00134	-13.1	6.5	
R00135	235.9	11.0	
R00137	1.5	5.8	
R00138			uncertainty is too high
R00139	2.6	17.6	
R00140	-0.1	16.1	
R00141			uncertainty is too high
R00143			uncertainty is too high
R00145			uncertainty is too high
R00146			uncertainty is too high
R00148			uncertainty is too high
R00149	-0.0	7.9	
R00150	26.4	7.9	
R00152			uncertainty is too high
R00153	-132.2	7.2	
R00155	-21.2	6.3	
R00156	-2.4	2.5	
R00157	-0.2	2.5	
R00158	-5.2	6.3	
R00159	-24.1	2.5	
R00160	-23.3	9.4	
R00161	-11.1	9.4	
R00162			uncertainty is too high
R00164			uncertainty is too high
R00165			uncertainty is too high
