!!SBtab TableType="QuantityData" Version="0.1" Level="1.0" TableName="Hynne Results"
!QuantityType	!SBML:reaction:id	!SBML:species:id	!Mode	!Value	!Std	!Unit	!Provenance	!Type	!Source
standard chemical potential	None	GlcX	-959.483198095	-959.483198095	35.1079178955	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	EtOHX	-890.378693874	-890.378693874	18.0245002945	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	GlycX	-896.006513876	-896.006513876	18.021591025	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	ACAX	-857.269586898	-857.269586898	18.0016456899	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	CNX	-81.4737299926	-81.4737299926	7.62770264193	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	P	-894.871885425	-894.871885425	17.5887380151	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	CNX0	-101.881202693	-101.881202693	9.29453963852	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	GlcX0	-957.451225036	-957.451225036	34.662828819	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	F6P	-50.5131843369	-50.5131843369	2.1843752453	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	NADH	1063.06563028	1063.06563028	24.6844862631	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	DHAP	-80.1168943295	-80.1168943295	3.15512965323	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	Glc	-16.2970602498	-16.2970602498	0.60257556129	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	ADP	-1428.52314206	-1428.52314206	20.2428302918	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	Glyc	-15.2129042326	-15.2129042326	0.320066995461	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	FBP	-90.0063373911	-90.0063373911	4.32321146961	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	NAD	1089.98026824	1089.98026824	24.6844862631	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	GAP	-75.038554653	-75.038554653	3.18438525658	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	PEP	1.65633602431	1.65633602431	2.45176389131	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	ATP	-1452.52135665	-1452.52135665	20.3524869249	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	ACA	-14.5834263934	-14.5834263934	0.319741196177	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	EtOH	-15.0196289184	-15.0196289184	0.32015577913	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	Pyr	45.6306683974	45.6306683974	3.23431159842	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	G6P	-53.4300884922	-53.4300884922	2.17301010055	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	BPG	-43.3041623248	-43.3041623248	3.252045958	kJ/mol	Balanced parameter value	Basic	None
standard chemical potential	None	AMP	-1383.53133977	-1383.53133977	20.6135033045	kJ/mol	Balanced parameter value	Basic	None
chemical potential	None	GlcX	-965.218943427	-965.218943427	35.6296203777	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	Glc	-3.42481999399	-3.42481999399	1.97000624239	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	ATP	-1463.77980853	-1463.77980853	20.3821389685	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	G6P	-60.2334674697	-60.2334674697	2.20144801806	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	ADP	-1432.0967606	-1432.0967606	20.2490144287	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	F6P	-61.0992435727	-61.0992435727	2.23089118149	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	FBP	-106.25223446	-106.25223446	4.39213306734	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	GAP	-80.8452654534	-80.8452654534	6.87316660651	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	DHAP	-96.1966084382	-96.1966084382	3.19957115844	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	NAD	1081.28773126	1081.28773126	24.7014867442	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	BPG	-38.9112747617	-38.9112747617	3.75398623865	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	NADH	1075.92965899	1075.92965899	24.7554524041	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	PEP	-11.155607466	-11.155607466	2.53936113382	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	Pyr	39.0594132546	39.0594132546	3.28892261706	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	ACA	-4.88762546035	-4.88762546035	1.90320223779	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	EtOH	-4.32606085016	-4.32606085016	1.90980809714	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	EtOHX	-896.119983967	-896.119983967	19.024516143	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	Glyc	-3.50182221236	-3.50182221236	1.90156291368	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	GlycX	-901.747352408	-901.747352408	19.0217602631	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	ACAX	-863.013533577	-863.013533577	19.0028677645	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	CNX	-87.2799244519	-87.2799244519	9.76085284148	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	AMP	-1393.77802003	-1393.77802003	20.6269123725	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	P	-900.612814996	-900.612814996	18.6122486246	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	CNX0	-107.685759712	-107.685759712	11.1119908849	kJ/mol	Balanced parameter value	Derived	None
chemical potential	None	GlcX0	-963.187133409	-963.187133409	35.1912010913	kJ/mol	Balanced parameter value	Derived	None
concentration	None	GlcX	0.1003	0.1003	38.9780949657	mM	Balanced parameter value	Basic	None
concentration	None	GAP	0.0975	0.0975	37.8846629135	mM	Balanced parameter value	Basic	None
concentration	None	EtOHX	0.1001	0.1001	38.8915039236	mM	Balanced parameter value	Basic	None
concentration	None	GlycX	0.1001	0.1001	38.8985456497	mM	Balanced parameter value	Basic	None
concentration	None	ACAX	0.1	0.1	38.8501023899	mM	Balanced parameter value	Basic	None
concentration	None	CNX	0.0975	0.0975	37.8925083722	mM	Balanced parameter value	Basic	None
concentration	None	P	0.1001	0.1001	38.897125238	mM	Balanced parameter value	Basic	None
concentration	None	CNX0	0.0976	0.0976	37.9173940588	mM	Balanced parameter value	Basic	None
concentration	None	GlcX0	0.1003	0.1003	38.9755458871	mM	Balanced parameter value	Basic	None
concentration	None	F6P	0.0143	0.0143	0.00267210004419	mM	Balanced parameter value	Basic	None
concentration	None	NADH	173.743	173.743	200.995219624	mM	Balanced parameter value	Basic	None
concentration	None	DHAP	0.0016	0.0016	0.000349540738984	mM	Balanced parameter value	Basic	None
concentration	None	Glc	174.3159	174.3159	201.658035779	mM	Balanced parameter value	Basic	None
concentration	None	ADP	0.2386	0.2386	0.0493948111888	mM	Balanced parameter value	Basic	None
concentration	None	Glyc	109.4345	109.4345	126.453566772	mM	Balanced parameter value	Basic	None
concentration	None	FBP	0.0015	0.0015	0.000495654646901	mM	Balanced parameter value	Basic	None
concentration	None	NAD	0.0307	0.0307	0.012484041239	mM	Balanced parameter value	Basic	None
concentration	None	PEP	0.0059	0.0059	0.00164254541083	mM	Balanced parameter value	Basic	None
concentration	None	ATP	0.011	0.011	0.00559529501752	mM	Balanced parameter value	Basic	None
concentration	None	ACA	48.7809	48.7809	56.4641548741	mM	Balanced parameter value	Basic	None
concentration	None	EtOH	72.7751	72.7751	84.7976364524	mM	Balanced parameter value	Basic	None
concentration	None	Pyr	0.0717	0.0717	0.0179239716211	mM	Balanced parameter value	Basic	None
concentration	None	G6P	0.0654	0.0654	0.00938393538179	mM	Balanced parameter value	Basic	None
concentration	None	BPG	5.8197	5.8197	6.73058528882	mM	Balanced parameter value	Basic	None
concentration	None	AMP	0.0164	0.0164	0.0052449076586	mM	Balanced parameter value	Basic	None
Michaelis constant	vinGlc	GlcX0	0.1111	0.1111	1.16113364628	mM	Balanced parameter value	Basic	None
