!!SBtab SBtabVersion='1.0' TableType='Quantity' TableName='Parameter' Document='ecoli_wortel_2018_data.tsv' Date='2018-11-28'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mode	!Unit	!UnconstrainedGeometricMean	!UnconstrainedGeometricStd	!UnconstrainedMean	!UnconstrainedStd
standard chemical potential		ACETATE	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		ACETATE	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ACETATE_ext	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		ACETATE_ext	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ACETYL_CoA	-17.5066	kJ/mol	NaN	NaN	-17.5066	290.5806
concentration		ACETYL_CoA	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ACALD	-31.042	kJ/mol	NaN	NaN	-31.042	120.9445
concentration		ACALD	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ACETYL_P	-34.931	kJ/mol	NaN	NaN	-34.931	58.5638
concentration		ACETYL_P	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ADP	-20.8455	kJ/mol	NaN	NaN	-20.8455	353.6756
concentration		ADP	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		AKG	-26.7802	kJ/mol	NaN	NaN	-26.7802	135.8285
concentration		AKG	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ATP	20.8455	kJ/mol	NaN	NaN	20.8455	353.6756
concentration		ATP	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ATP_main	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		ATP_main	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		BIOMASS	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		BIOMASS	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		CITRATE	-48.0301	kJ/mol	NaN	NaN	-48.0301	195.7105
concentration		CITRATE	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		CO2	10.1995	kJ/mol	NaN	NaN	10.1995	145.4664
concentration		CO2	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		CO2_ext	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		CO2_ext	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		CoASH	26.0362	kJ/mol	NaN	NaN	26.0362	291.8762
concentration		CoASH	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		DHAP	35.0127	kJ/mol	NaN	NaN	35.0127	75.1726
concentration		DHAP	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ERYTH_4_P	39.5556	kJ/mol	NaN	NaN	39.5556	99.5396
concentration		ERYTH_4_P	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ETOH	-73.1302	kJ/mol	NaN	NaN	-73.1302	196.4159
concentration		ETOH	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ETOH_ext	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		ETOH_ext	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		FORMATE	-21.1641	kJ/mol	NaN	NaN	-21.1641	72.2668
concentration		FORMATE	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		FORMATE_ext	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		FORMATE_ext	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		FRU_6_P	15.2544	kJ/mol	NaN	NaN	15.2544	149.0031
concentration		FRU_6_P	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		FRU_BIS_P	33.9082	kJ/mol	NaN	NaN	33.9082	150.162
concentration		FRU_BIS_P	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		FUMARATE	-28.0269	kJ/mol	NaN	NaN	-28.0269	130.1935
concentration		FUMARATE	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		DPG	75.0541	kJ/mol	NaN	NaN	75.0541	74.5381
concentration		DPG	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		PG3	14.8673	kJ/mol	NaN	NaN	14.8673	71.6222
concentration		PG3	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		GA_3P	39.7261	kJ/mol	NaN	NaN	39.7261	75.1652
concentration		GA_3P	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		GLU_6_P	7.1165	kJ/mol	NaN	NaN	7.1165	149.0611
concentration		GLU_6_P	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		GLU_LAC_6_P	28.0184	kJ/mol	NaN	NaN	28.0184	124.7873
concentration		GLU_LAC_6_P	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		GLUCO_6_P	18.2173	kJ/mol	NaN	NaN	18.2173	124.2618
concentration		GLUCO_6_P	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		KDPG	-17.2879	kJ/mol	NaN	NaN	-17.2879	123.7585
concentration		KDPG	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		GLU_ext	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		GLU_ext	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ISOCIT	-27.3882	kJ/mol	NaN	NaN	-27.3882	195.6986
concentration		ISOCIT	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		LACTATE	-96.289	kJ/mol	NaN	NaN	-96.289	83.4223
concentration		LACTATE	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		LACTATE_ext	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		LACTATE_ext	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		MALATE	-29.5295	kJ/mol	NaN	NaN	-29.5295	130.1724
concentration		MALATE	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		NAD	10.4888	kJ/mol	NaN	NaN	10.4888	355.8079
concentration		NAD	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		NADH	-10.4888	kJ/mol	NaN	NaN	-10.4888	355.8079
concentration		NADH	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		NH3	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		NH3	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		NH3_ext	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		NH3_ext	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		OXALO	19.3276	kJ/mol	NaN	NaN	19.3276	197.0878
concentration		OXALO	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		OXY_ext	99.5173	kJ/mol	NaN	NaN	99.5173	88.4479
concentration		OXY_ext	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		PEP	26.4483	kJ/mol	NaN	NaN	26.4483	71.5886
concentration		PEP	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		PG	28.8189	kJ/mol	NaN	NaN	28.8189	71.5919
concentration		PG	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		PYR	-48.3924	kJ/mol	NaN	NaN	-48.3924	76.3239
concentration		PYR	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		RIBOSE_5_P	26.9178	kJ/mol	NaN	NaN	26.9178	124.2239
concentration		RIBOSE_5_P	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		RIBULOSE_5_P	26.1506	kJ/mol	NaN	NaN	26.1506	124.2082
concentration		RIBULOSE_5_P	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		SED_7_P	11.0181	kJ/mol	NaN	NaN	11.0181	173.9576
concentration		SED_7_P	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		SUCC	-66.8126	kJ/mol	NaN	NaN	-66.8126	90.2426
concentration		SUCC	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		SUCC_CoA	-8.5296	kJ/mol	NaN	NaN	-8.5296	293.0392
concentration		SUCC_CoA	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		SUCC_ext	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		SUCC_ext	0.1	mM	0.1	10.0	1.4167	20.0217
