!!SBtab TableID="ParameterData" TableType="Quantity" Version="0.1" Level="1.0"  TableName="Jiang Data"									
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mean	!Std	!Unit	!Organism	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound	!Reference
concentration of enzyme	v4	nan	169000	nan	molecules/cell	Saccharomyces cerevisiae	R01061	nan	yeastGFP
concentration of enzyme	v4	nan	120000	nan	molecules/cell	Saccharomyces cerevisiae	R01061	nan	yeastGFP
concentration of enzyme	v4	nan	121000	nan	molecules/cell	Saccharomyces cerevisiae	R01061	nan	yeastGFP
equilibrium constant	v4	nan	0.1	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.2	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.2	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.2	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.2	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.2	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.3	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.4	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.4	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.4	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.4	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.4	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.4	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.5	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.5	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.6	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.6	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.6	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.6	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.6	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.7	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.7	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.8	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0.9	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	1	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	1.3	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	1.4	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	0	nan	dimensionless	nan	R01061	nan	NIST
equilibrium constant	v4	nan	17	nan	dimensionless	nan	R01061	nan	NIST
concentration of enzyme	v29	nan	4670	nan	molecules/cell	Saccharomyces cerevisiae	R01324	nan	yeastGFP
concentration of enzyme	v29	nan	96700	nan	molecules/cell	Saccharomyces cerevisiae	R01324	nan	yeastGFP
inhibitory constant	v29	Fum	0.4	nan	mM	Rattus rattus	R01324	C00122	Brenda
inhibitory constant	v29	Fum	0.5	nan	mM	Rattus rattus	R01324	C00122	Brenda
inhibitory constant	v29	OXA	2.8	nan	mM	Rattus rattus	R01324	C00036	Brenda
inhibitory constant	v29	Suc	0.3	nan	mM	Rattus rattus	R01324	C00042	Brenda
inhibitory constant	v29	Suc	0.6	nan	mM	Rattus rattus	R01324	C00042	Brenda
inhibitory constant	v29	OXA	1	nan	mM	Rattus rattus	R01324	C00036	Brenda
concentration of enzyme	v14	nan	14300	nan	molecules/cell	Saccharomyces cerevisiae	R01700	nan	yeastGFP
inhibitory constant	v14	NADH	0	nan	mM	Dictyostelium discoideum	R01700	C00004	Brenda
inhibitory constant	v14	SCoA	0	nan	mM	Dictyostelium discoideum	R01700	C00091	Brenda
inhibitory constant	v14	NADH	0	nan	mM	Gluconacetobacter xylinus	R01700	C00004	Brenda
inhibitory constant	v14	SCoA	0	nan	mM	Gluconacetobacter xylinus	R01700	C00091	Brenda
inhibitory constant	v3	DHAP	0.1	nan	mM	Escherichia coli	R01068	C00111	Brenda
inhibitory constant	v3	DHAP	1.7	nan	mM	Escherichia coli	R01068	C00111	Brenda
inhibitory constant	v3	Pi	0	nan	mM	Spermophilus lateralis	R01068	C00009	Brenda
inhibitory constant	v3	Pi	0	nan	mM	Spermophilus lateralis	R01068	C00009	Brenda
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
equilibrium constant	v3	nan	0	nan	dimensionless	nan	R01068	nan	NIST
concentration of enzyme	v32	nan	2910	nan	molecules/cell	Saccharomyces cerevisiae	R00355	nan	yeastGFP
concentration of enzyme	v32	nan	7700	nan	molecules/cell	Saccharomyces cerevisiae	R00355	nan	yeastGFP
inhibitory constant	v32	Pi	0	nan	mM	Ovis aries	R00355	C00009	Brenda
inhibitory constant	v32	Pi	0	nan	mM	Ovis aries	R00355	C00009	Brenda
inhibitory constant	v32	OG_cyt	30	nan	mM	Trichomonas vaginalis	R00355	C00026	Brenda
inhibitory constant	v32	Glu_cyt	6.8	nan	mM	Trichomonas vaginalis	R00355	C00025	Brenda
inhibitory constant	v32	Glu_cyt	2.8	nan	mM	Trichomonas vaginalis	R00355	C00025	Brenda
inhibitory constant	v32	OXA_cyt	0	nan	mM	Lupinus albus	R00355	C00036	Brenda
inhibitory constant	v32	OXA_cyt	0	nan	mM	Lupinus albus	R00355	C00036	Brenda
inhibitory constant	v32	Glu_cyt	30	nan	mM	Lupinus albus	R00355	C00025	Brenda
inhibitory constant	v32	OXA_cyt	0	nan	mM	Lupinus albus	R00355	C00036	Brenda
inhibitory constant	v32	OXA_cyt	0	nan	mM	Lupinus albus	R00355	C00036	Brenda
inhibitory constant	v32	Glu_cyt	10.5	nan	mM	Lupinus albus	R00355	C00025	Brenda
inhibitory constant	v32	Glu_cyt	16	nan	mM	Lupinus albus	R00355	C00025	Brenda
inhibitory constant	v32	Glu_cyt	11.1	nan	mM	Lupinus albus	R00355	C00025	Brenda
inhibitory constant	v32	Suc	8.9	nan	mM	Lupinus albus	R00355	C00042	Brenda
inhibitory constant	v32	Suc	10.7	nan	mM	Lupinus albus	R00355	C00042	Brenda
inhibitory constant	v32	Suc	36.9	nan	mM	Lupinus albus	R00355	C00042	Brenda
inhibitory constant	v32	Suc	16.8	nan	mM	Lupinus albus	R00355	C00042	Brenda
inhibitory constant	v32	Fum	6.8	nan	mM	Lupinus albus	R00355	C00122	Brenda
inhibitory constant	v32	Fum	24.6	nan	mM	Lupinus albus	R00355	C00122	Brenda
inhibitory constant	v32	Fum	33.7	nan	mM	Lupinus albus	R00355	C00122	Brenda
inhibitory constant	v32	Fum	44.1	nan	mM	Lupinus albus	R00355	C00122	Brenda
inhibitory constant	v32	OG_cyt	1.9	nan	mM	Rattus norvegicus	R00355	C00026	Brenda
