!!SBtab TableType="Quantity" Version="0.1" Level="1.0" TableName="Teusink Data"
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mean	!Std	!Unit	!pH	!Temperature	!Organism	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound	!Reference
concentration of enzyme	vGAPDH	nan	169000	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R01061	nan	yeastGFP
concentration of enzyme	vGAPDH	nan	120000	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R01061	nan	yeastGFP
concentration of enzyme	vGAPDH	nan	121000	nan	molecules/cell	nan	nan	Saccharomyces cerevisiae	R01061	nan	yeastGFP
equilibrium constant	vGAPDH	nan	0.0984	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.156	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.17	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.187	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.193	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.205	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.337	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.36	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.41	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.42	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.43	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.433	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.44	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.45	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.487	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.55	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.58	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.616	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.62	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.64	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.69	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.71	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
equilibrium constant	vGAPDH	nan	0.789	nan	dimensionless	nan	nan	nan	R01061	nan	NIST
