!!SBtab TableID='def_table' SBtabVersion='1.0' TableType='Definition' TableName='Allowed_types'					
!Name	!Type	!Parent	!isShortname	!Format	!Description
Reaction	Table	SBtab	False	Table	SBtab Reaction Table
Comment	Column	Reaction	False	String	Comment
ReferenceName	Column	Reaction	False	String	Reference title, authors, etc. (as free text)
ReferencePubMed	Column	Reaction	False	String	Reference PubMed ID
ReferenceDOI	Column	Reaction	False	String	Reference DOI
Description	Column	Reaction	False	String	Description of the row element
Modifier	Column	Reaction	True	String	Modifier of this reaction
Name	Column	Reaction	False	String	Entity name
MiriamAnnotation	Column	Reaction	False	String	Entity ID
Type	Column	Reaction	False	String	Biochemical type of entity
Symbol	Column	Reaction	False	String	Short symbol (e.g. gene symbol)
PositionX	Column	Reaction	False	Float	x coordinate for graphical display
PositionY	Column	Reaction	False	Float	y coordinate for graphical display
ID	Column	Reaction	False	String	Reaction shortname
SBML:reaction:id	Column	Reaction	False	String	SBML ID of reaction
Reaction	Column	Reaction	False	String	SBML ID of reaction
ReactionFormula	Column	Reaction	True	String	Reaction formula
Location	Column	Reaction	True	String	Compartment for localised reaction
Enzyme	Column	Reaction	True	String	Enzyme catalysing the reaction
Regulator	Column	Reaction	True	String	Regulator controlling the reaction
Model	Column	Reaction	False	String	Model(s) in which the reaction is involved
Pathway	Column	Reaction	False	String	Pathway(s) in which the reaction is involved
SubreactionOf	Column	Reaction	True	String	Mark as subreaction of a (lumped) reaction
IsComplete	Column	Reaction	False	Boolean	Reaction formula includes all cofactors etc.
IsReversible	Column	Reaction	False	Boolean	Reaction should be treated as irreversible
IsInEquilibrium	Column	Reaction	False	Boolean	Reaction approximately in equilibrium
IsExchangeReaction	Column	Reaction	False	Boolean	Some reactants are left out
Flux	Column	Reaction	False	Float	Metabolic flux through the reaction
IsNonEnzymatic	Column	Reaction	False	Boolean	Non-catalysed reaction
KineticLaw	Column	Reaction	False	String	Kinetic law of the reaction
KineticLaw:Name	Column	Reaction	False	String	Name of the kinetic law
KineticLaw:Formula	Column	Reaction	False	String	Rate law formula
Gene	Column	Reaction	True	String	Name of the gene for the catalysing enzyme
Gene:Symbol	Column	Reaction	False	String	Name of the gene for the catalysing enzyme
Operon	Column	Reaction	False	String	Operon for the gene of the catalysing enzyme
Enzyme:SBML:species:id	Column	Reaction	False	String	SBML ID of enzyme
Enzyme:SBML:parameter:id	Column	Reaction	False	String	SBML ID of enzyme
BuildReaction	Column	Reaction	False	Boolean	Include reaction in SBML model
BuildEnzyme	Column	Reaction	False	Boolean	Include enzyme in SBML model
BuildEnzymeProduction	Column	Reaction	False	Boolean	Describe enzyme production in SBML model
