!!SBtab TableID='ParameterBalanced' SBtabVersion='1.0' TableType='Quantity' TableName='Parameter' Document='ecoli_noor_2016_data.tsv' Date='2018-11-28'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mode	!Unit	!UnconstrainedGeometricMean	!UnconstrainedGeometricStd	!UnconstrainedMean	!UnconstrainedStd
standard chemical potential		_S__Malate	-46.3871	kJ/mol	NaN	NaN	-46.3871	171.0141
concentration		_S__Malate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Acetyl_CoA	-27.5719	kJ/mol	NaN	NaN	-27.5719	290.561
concentration		Acetyl_CoA	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Fumarate	-43.0963	kJ/mol	NaN	NaN	-43.0963	171.0198
concentration		Fumarate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		cis_Aconitate	-8.4748	kJ/mol	NaN	NaN	-8.4748	199.5315
concentration		cis_Aconitate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		_6_Phospho_D_gluconate	2.6869	kJ/mol	NaN	NaN	2.6869	138.9768
concentration		_6_Phospho_D_gluconate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Orthophosphate	-63.3476	kJ/mol	NaN	NaN	-63.3476	163.1021
concentration		Orthophosphate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Pyruvate	-39.1625	kJ/mol	NaN	NaN	-39.1625	82.7128
concentration		Pyruvate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		NADPplus	14.4625	kJ/mol	NaN	NaN	14.4625	357.0405
concentration		NADPplus	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		NADPH	-14.4625	kJ/mol	NaN	NaN	-14.4625	357.0405
concentration		NADPH	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		NADH	-32.7592	kJ/mol	NaN	NaN	-32.7592	356.996
concentration		NADH	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		NADplus	32.7592	kJ/mol	NaN	NaN	32.7592	356.996
concentration		NADplus	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ATP	-1.5099	kJ/mol	NaN	NaN	-1.5099	362.8366
concentration		ATP	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		H2O	0.0	kJ/mol	NaN	NaN	0.0	500.0
concentration		H2O	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		_2_Oxoglutarate	28.5951	kJ/mol	NaN	NaN	28.5951	203.0884
concentration		_2_Oxoglutarate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Oxaloacetate	43.5441	kJ/mol	NaN	NaN	43.5441	213.1672
concentration		Oxaloacetate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Ubiquinone	2.4792	kJ/mol	NaN	NaN	2.4792	400.252
concentration		Ubiquinone	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		D_Erythrose_4_phosphate	5.0113	kJ/mol	NaN	NaN	5.0113	112.2307
concentration		D_Erythrose_4_phosphate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Ubiquinol	-2.4793	kJ/mol	NaN	NaN	-2.4793	400.252
concentration		Ubiquinol	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		ADP	1.5099	kJ/mol	NaN	NaN	1.5099	362.8366
concentration		ADP	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Isocitrate	-8.2899	kJ/mol	NaN	NaN	-8.2899	199.5327
concentration		Isocitrate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		D_Ribulose_5_phosphate	8.1039	kJ/mol	NaN	NaN	8.1039	132.5279
concentration		D_Ribulose_5_phosphate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		D_Xylulose_5_phosphate	5.7294	kJ/mol	NaN	NaN	5.7294	132.5276
concentration		D_Xylulose_5_phosphate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		D_Glucose_6_phosphate	1.6882	kJ/mol	NaN	NaN	1.6882	161.0016
concentration		D_Glucose_6_phosphate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		_3_Phospho_D_glyceroyl_phosphate	14.8896	kJ/mol	NaN	NaN	14.8896	288.8958
concentration		_3_Phospho_D_glyceroyl_phosphate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		CoA	-1.602	kJ/mol	NaN	NaN	-1.602	319.0856
concentration		CoA	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		CO2	18.7233	kJ/mol	NaN	NaN	18.7233	178.7503
concentration		CO2	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		D_Ribose_5_phosphate	7.1179	kJ/mol	NaN	NaN	7.1179	132.5313
concentration		D_Ribose_5_phosphate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Glycerone_phosphate	-7.1176	kJ/mol	NaN	NaN	-7.1176	104.9451
concentration		Glycerone_phosphate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		D_Glucose	7.0249	kJ/mol	NaN	NaN	7.0249	246.9748
concentration		D_Glucose	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		D_Fructose_1_6_bisphosphate	-15.6769	kJ/mol	NaN	NaN	-15.6769	209.8744
concentration		D_Fructose_1_6_bisphosphate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		D_Glyceraldehyde_3_phosphate	-3.568	kJ/mol	NaN	NaN	-3.568	104.9432
concentration		D_Glyceraldehyde_3_phosphate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Phosphoenolpyruvate	-1.3488	kJ/mol	NaN	NaN	-1.3488	136.2035
concentration		Phosphoenolpyruvate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Citrate	-17.7032	kJ/mol	NaN	NaN	-17.7032	199.5337
concentration		Citrate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Succinyl_CoA	29.1739	kJ/mol	NaN	NaN	29.1739	322.2459
concentration		Succinyl_CoA	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		_3_Phospho_D_glycerate	1.4706	kJ/mol	NaN	NaN	1.4706	136.2005
concentration		_3_Phospho_D_glycerate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		D_Glucono_1_5_lactone_6_phosphate	26.4189	kJ/mol	NaN	NaN	26.4189	138.9767
concentration		D_Glucono_1_5_lactone_6_phosphate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		D_Fructose_6_phosphate	4.9568	kJ/mol	NaN	NaN	4.9568	160.9965
concentration		D_Fructose_6_phosphate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		_2_Phospho_D_glycerate	1.9543	kJ/mol	NaN	NaN	1.9543	136.2008
concentration		_2_Phospho_D_glycerate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Succinate	-28.6826	kJ/mol	NaN	NaN	-28.6826	277.2846
concentration		Succinate	0.1	mM	0.1	10.0	1.4167	20.0217
standard chemical potential		Sedoheptulose_7_phosphate	13.3282	kJ/mol	NaN	NaN	13.3282	194.0843
concentration		Sedoheptulose_7_phosphate	0.1	mM	0.1	10.0	1.4167	20.0217
catalytic rate constant geometric mean	PTS_RPTSsy		0.0118	1/s	0.0118	8.8993	0.1291	1.4016
concentration of enzyme	PTS_RPTSsy		0.001	mM	0.001	100.0	40.2875	1623081.6651
equilibrium constant	PTS_RPTSsy		36266203.9894	dimensionless	36266203.9894	2.2931	51175540.5853	50950553.4154
substrate catalytic rate constant	PTS_RPTSsy		13.2201	1/s	13.2201	2.2749	18.5328	18.2075
product catalytic rate constant	PTS_RPTSsy		0.0	1/s	0.0	66.6996	0.0718	486.2032
catalytic rate constant geometric mean	PGI_R02740		116.5904	1/s	116.5904	5.68	526.9809	2322.8933
concentration of enzyme	PGI_R02740		0.001	mM	0.001	100.0	40.2875	1623081.6651
equilibrium constant	PGI_R02740		0.2675	dimensionless	0.2675	2.2924	0.3774	0.3756
substrate catalytic rate constant	PGI_R02740		81.9761	1/s	81.9761	2.2723	114.8107	112.5796
product catalytic rate constant	PGI_R02740		165.8205	1/s	165.8205	25.0092	29515.6147	5253617.6906
catalytic rate constant geometric mean	PFK_R04779		2.5195	1/s	2.5195	6.0492	12.7294	63.0418
concentration of enzyme	PFK_R04779		0.001	mM	0.001	100.0	40.2875	1623081.6651
equilibrium constant	PFK_R04779		1218.2991	dimensionless	1218.2991	2.2925	1718.7658	1710.4372
substrate catalytic rate constant	PFK_R04779		30.8823	1/s	30.8823	2.2726	43.257	42.4266
product catalytic rate constant	PFK_R04779		0.2055	1/s	0.2055	28.7645	57.9646	16346.0079
catalytic rate constant geometric mean	ALD_R01070		10.0	1/s	10.0	100.0	402874.8771	16230816651.2812
concentration of enzyme	ALD_R01070		0.001	mM	0.001	100.0	40.2875	1623081.6651
equilibrium constant	ALD_R01070		0.1335	dimensionless	0.1335	2.2992	0.1888	0.1888
substrate catalytic rate constant	ALD_R01070		11.2884	1/s	11.2884	121.1672	1121523.9509	111425928472.0204
product catalytic rate constant	ALD_R01070		8.8587	1/s	8.8587	121.1672	880130.0825	87442904396.953
catalytic rate constant geometric mean	TIM_R01015		715.9016	1/s	715.9016	1.613	802.5725	406.6974
concentration of enzyme	TIM_R01015		0.001	mM	0.001	100.0	40.2875	1623081.6651
equilibrium constant	TIM_R01015		0.2389	dimensionless	0.2389	2.0962	0.3141	0.2683
