!!SBtab SBtabVersion='1.0' Document='BIOMD0000000239' TableType='Compartment' TableName='Compartment'														
!ID	!Name	!Size												
CYTOPLASM	cytoplasm	1												
MT_IMS	mitochondrial intermembrane space	1												
MT_IM	mitochondrial inner membrane	1												
MATRIX	mitochondrial matrix	1												
														
!!SBtab SBtabVersion='1.0' Document='BIOMD0000000239' TableType='Compound' TableName='Compound'														
!ID	!Name	!Location	!Charge	!IsConstant	!InitialConcentration	!hasOnlySubstanceUnits	!Identifiers:kegg.compound							
GLC	glucose	CYTOPLASM	0	False	0	False	C00267							
F6P	fructose-6-phosphate	CYTOPLASM	0	False	0	False	C00085							
FBP	fructose-1,6-bisphosphate	CYTOPLASM	0	False	0	False	C00354							
GAP	glyceraldehyde 3-phosphate	CYTOPLASM	0	False	0	False	C00118							
DPG	1,2-bisphospho-D-glycerate	CYTOPLASM	0	False	0	False	C00236							
PEP	phosphoenolpyruvate	CYTOPLASM	0	False	0	False	C00074							
PYR_cyt	pyruvate	CYTOPLASM	0	False	0	False	C00022							
AMP	adenine monophosphate	CYTOPLASM	0	False	0	False	C00020							
LAC	lactate	CYTOPLASM	0	False	0	False	C00186							
G3P	glycerol-3-phosphate	CYTOPLASM	0	False	0	False	C00093							
DHAP	dihydrohxyacetone-phosphate	CYTOPLASM	0	False	0	False	C00111							
OXA_cyt	oxaloacetate	CYTOPLASM	0	False	0	False	C00036							
Asp_cyt	aspartate	CYTOPLASM	0	False	0	False	C00049							
Glu_cyt	glutamate	CYTOPLASM	0	False	0	False	C00025							
OG_cyt	oxoglutarate	CYTOPLASM	0	False	0	False	C00026							
Mal_cyt	malate	CYTOPLASM	0	False	0	False	C00149							
Acetyl_CoA_cyt	acetyl CoA	CYTOPLASM	0	False	0	False	C00024							
CoA_cyt	coenzyme A	CYTOPLASM	0	False	0	False	C00010							
IsoCitcyt	isocitrate	CYTOPLASM	0	False	0	False	C00311							
Cit_cyt	citrate	CYTOPLASM	0	False	0	False	C00158							
ATP_cyt	adenine triphosphate	CYTOPLASM	0	False	0	False	C0002							
ADP_cyt	adenine diphosphate	CYTOPLASM	0	False	0	False	C0008							
NAD	NAD	CYTOPLASM	0	False	0	False	C00003							
NADH_cyt	NADH	CYTOPLASM	0	False	0	False	C00004							
NADP_cyt	NADP	CYTOPLASM	0	False	0	False	C00006							
NADPH_cyt	NADPH	CYTOPLASM	0	False	0	False	C00005							
Pyr	pyruvate	MATRIX	0	False	0	False	C00022							
CO2	carbon dioxide	MATRIX	0	False	0	False	C00011							
CoA	coenzyme A	MATRIX	0	False	0	False	C00010							
Acetyl_CoA	acetyl CoA	MATRIX	0	False	0	False	C00024							
Pi	phosphate	MATRIX	0	False	0	False	C00009							
Fum	fumarate	MATRIX	0	False	0	False	C00122							
SCoA	succinyl-CoA	MATRIX	0	False	0	False	C00091							
Suc	succinate	MATRIX	0	False	0	False	C00042							
GTP	guanosine triphosphate	MATRIX	0	False	0	False	C00044							
GDP	guanosine diphosphate	MATRIX	0	False	0	False	C00035							
Ala	slanine	MATRIX	0	False	0	False	C00041							
Asp	aspartate	MATRIX	0	False	0	False	C00049							
Glu	glutamate	MATRIX	0	False	0	False	C00025							
H2O	water	MATRIX	0	False	0	False	C00001							
ETFred	electron transfer flavoprotein (reduced form)	MATRIX	0	False	0	False	C04570							
ETFox	electron transfer flavoprotein (oxidised form)	MATRIX	0	False	0	False	C04253							
FADH2	FADH2	MATRIX	0	False	0	False	C01352							
FAD	FAD	MATRIX	0	False	0	False	C00016							
OG	oxoglutarate	MATRIX	0	False	0	False	C00026							
Mal	malate	MATRIX	0	False	0	False	C00149							
OXA	oxaloacetate	MATRIX	0	False	0	False	C00036							
Cit	citrate	MATRIX	0	False	0	False	C00158							
IsoCit	isocitrate	MATRIX	0	False	0	False	C00311							
ATP	adenine triphosphate	MATRIX	0	False	0	False	C0002							
ADP	adenine diphosphate	MATRIX	0	False	0	False	C0008							
NADP_p	NADP+	MATRIX	0	False	0	False	C00006							
NADPH	NADPH	MATRIX	0	False	0	False	C00005							
NAD_p	NAD+	MATRIX	0	False	0	False	C00003							
NADH	NADH	MATRIX	0	False	0	False	C00004							
Q	ubiquinone	MT_IMS	0	False	0	False	C00399							
QH2	ubiquinol	MT_IMS	0	False	0	False	C00390							
Cytc3p	ferrocytochrome c	MT_IMS	0	False	0	False	C00126							
Cytc2p	ferricytochrome c	MT_IMS	0	False	0	False	C00125							
														
!!SBtab SBtabVersion='1.0' Document='BIOMD0000000239' TableType='Reaction' TableName='Reaction'														
!ID	!Name	!ReactionFormula	!Regulator	!KineticLaw	!IsReversible	!Identifiers:ec-code								
GLCflow		 <=> GLC		CYTOPLASM * (Glc_F * pow(10, -3) - GLC) * flow	True									
LACflow		LAC <=>		CYTOPLASM * LAC * flow	False									
GAPflow		GAP <=>		CYTOPLASM * GAP * flow	False									
v1	glucokinase	GLC + ATP_cyt <=> F6P + ADP_cyt		CYTOPLASM * (V1 * ATP_cyt * GLC / ((K1GLC + GLC) * (K1ATP + ATP_cyt)))	False	2.7.1.2								
v2	6-phosphofructokinase	F6P + ATP_cyt <=> FBP + ADP_cyt	AMP	CYTOPLASM * (V2 * ATP_cyt * pow(F6P, 2) / ((K2 * (1 + k2 * pow(ATP_cyt / AMP, 2)) + pow(F6P, 2)) * (K2ATP + ATP_cyt)))	False	2.7.1.11								
v3	fructose-bisphosphate aldolase	FBP <=> 2.0 GAP		CYTOPLASM * (k3f * FBP - k3b * pow(GAP, 2))	True	4.1.2.13								
v4	glyceraldehyde 3-phosphate dehydrogenase	GAP + NAD <=> DPG + NADH_cyt		CYTOPLASM * (V4 * NAD * GAP / ((K4GAP + GAP) * (K4NAD + NAD)))	False	1.2.1.12								
v5	bisphosphoglycerate phosphotase (1/2)	DPG + ADP_cyt <=> PEP + ATP_cyt		CYTOPLASM * (k5f * DPG * ADP_cyt - k5b * PEP * ATP_cyt)	True	5.4.2.4								
v6	pyruvate kinase	PEP + ADP_cyt <=> PYR_cyt + ATP_cyt		CYTOPLASM * (V6 * ADP_cyt * PEP / ((K6PEP + PEP) * (K6ADP + ADP_cyt)))	False	2.7.1.40								
v7	lactate dehydrogenase	PYR_cyt + NADH_cyt <=> LAC + NAD		CYTOPLASM * (k8f * NADH_cyt * PYR_cyt - k8b * NAD * LAC)	True	1.1.1.27								
hidden_1		AMP + ATP_cyt <=> 2.0 ADP_cyt		CYTOPLASM * (k9f * AMP * ATP_cyt - k9b * pow(ADP_cyt, 2))	True									
v8	pyruvate carrier	PYR_cyt <=> Pyr		MATRIX * (V * PYR_cyt * v8_PYC / (K + PYR_cyt))	True									
v9	pyruvate dehydrogenase complex	Pyr + CoA + NAD_p <=> CO2 + Acetyl_CoA + NADH		MATRIX * (KcF * v9_PDC * Pyr * CoA * NAD_p / (KmC * Pyr * CoA + KmB * Pyr * NAD_p + KmA * CoA * NAD_p + Pyr * CoA * NAD_p + KmA * KmP * Kib * Kic / KmR / Kip / Kiq * Acetyl_CoA * NADH + KmC / Kir * Pyr * CoA * NADH + KmB / Kiq * Pyr * NAD_p * Acetyl_CoA + KmA * KmP * Kib * Kic / KmR / Kip / Kia / Kiq * Pyr * Acetyl_CoA * NADH))	False	1.2.4.1								
v10	citrate synthase	OXA + Acetyl_CoA <=> Cit + CoA		MATRIX * (V * Acetyl_CoA * OXA * v10_CS / (Acetyl_CoA * OXA + Ka * OXA + Kb * Acetyl_CoA + Kia * Kib))	True	2.3.3.3								
v11	aconitase	Cit <=> IsoCit		MATRIX * ((KcF * Kp * Cit - KcR * Ks * IsoCit) * v11_ACO / (Ks * IsoCit + Kp * Cit + Ks * Kp))	True	4.2.1.3								
v12	isocitrate dehydrogenase (NAD+) (alpha/beta/gamma)	IsoCit + NAD_p <=> OG + NADH	ADP	MATRIX * (KcF * v12_IDHa * (IsoCit * IsoCit + b * ADP * IsoCit) / (IsoCit * IsoCit + c * IsoCit + d * ADP + e * ADP * IsoCit + f))	False	1.1.1.41								
v14	oxoglutarate dehydrogenase complex	OG + CoA + NAD_p <=> CO2 + SCoA + NADH		MATRIX * (KcF * v14_OGDC * OG * CoA * NAD_p / (KmC * OG * CoA + KmB * OG * NAD_p + KmA * CoA * NAD_p + OG * CoA * NAD_p + KmA * KmP * Kib * Kic / KmR / Kip / Kiq * SCoA * NADH + KmC / Kir * OG * CoA * NADH + KmB / Kiq * OG * NAD_p * SCoA + KmA * KmP * Kib * Kic / KmR / Kip / Kia / Kiq * OG * SCoA * NADH))	False	1.2.4.2								
v15	succinyl-CoA synthetase	GDP + SCoA + Pi <=> Suc + GTP + CoA		MATRIX * ((GDP * SCoA * pi - Suc * GTP * CoA / Keq) * (Kc1 * v15_SCS + Kc2 * v15_SCS * (KmC * Suc / KmC2 * Kip + pi / KmC2)) / (Kia * KmB * pi + KmB * GDP * pi + KmA * SCoA * pi + KmC * GDP * SCoA + GDP * SCoA * pi + GDP * SCoA * pi * pi / KmC2 + Kia * KmB * KmC * Suc / Kip + Kia * KmB * KmC * Suc * GTP / Kip / Kiq + Kia * KmB * KmC * Suc * CoA / Kip / Kir + Kia * KmB * Kic * GTP * CoA / KmQ / Kir + Kia * KmB * KmC * Suc * GTP * CoA / Kip / KmQ / Kir + Kia * KmB * KmC * Suc * Suc * GTP * CoA / Kip / KmP2 / KmQ / Kir + Kia * KmB * pi * GTP / Kiq + Kia * KmB * pi * CoA / Kir + Kia * KmB * pi * GTP * CoA / KmQ / Kir + Kia * KmB * pi * Suc * GTP * CoA / KmP2 / KmQ / Kir + KmB * KmC * GDP * Suc / Kip + KmA * KmC * SCoA * Suc / Kip + KmC * GDP * SCoA * Suc / Kip + KmC * GDP * SCoA * pi * Suc / KmC2 / Kip + KmA * SCoA * pi * GTP / Kiq + KmB * GDP * pi * CoA / Kir + KmA * KmC * SCoA * Suc * GTP / Kip / Kiq + KmB * KmC * GDP * Suc * CoA / Kip / Kir))	True	6.2.1.4								
v16	succinate dehydrogenase	Suc + Q <=> Fum + QH2		MATRIX * (KcF * KcR * v16_SDH * (Suc * Q - Fum * QH2 / Keq) / (KcR * KmS2 * Suc + KcR * KmS1 * Q + KcF * KmP2 * Fum / Keq + KcF * KmP1 * QH2 / Keq + KcR * Suc * Q + KcF * KmP2 * Suc * Fum / (Keq * KiS1) + KcF * Fum * QH2 / Keq + KcR * KmS1 * Q * QH2 / KiP2))	True	1.3.5.1								
v17	fumarase	Fum <=> Mal		MATRIX * ((KcF * Kp * Fum - KcR * Ks * Mal) * v17_FM / (Ks * Mal + Kp * Fum + Ks * Kp))	True	4.2.1.2								
v18	malate dehydrogenase (mitochondrion)	Mal + NAD_p <=> NADH + OXA		MATRIX * ((KcF * Mal * NAD_p / KiS1 / KmS2 - KcR * OXA * NADH / KmP1 / KiP2) * v18_MDH / (1 + Mal / KiS1 + KmS1 * NAD_p / KiS1 / KmS2 + KmP2 * OXA / KmP1 / KiP2 + NADH / KiP2 + Mal * NAD_p / KiS1 / KmS2 + KmP2 * Mal * OXA / KiS1 / KmP1 / KiP2 + KmS1 * NAD_p * NADH / KiS1 / KmS2 / KiP2 + OXA * NADH / KmP1 * KiP2 + Mal * NAD_p * OXA / KiS1 / KmS2 / KiP1 + NAD_p * OXA * NADH / KiS2 / KmP1 / KiP2))	True	1.1.1.37								
v20	alanine transaminase	Ala + OG <=> Glu + Pyr		MATRIX * (KcF * KcR * v20_AlaTA * (Ala * OG - Glu * Pyr / Keq) / (KcR * KmS2 * Ala + KcR * KmS1 * OG + KcF * KmP2 * Glu / Keq + KcF * KmP1 * Pyr / Keq + KcR * Ala * OG + KcF * KmP2 * Ala * Glu / (Keq * KiS1) + KcF * Glu * Pyr / Keq + KcR * KmS1 * OG * Pyr / KiP2))	True	2.6.1.2								
v21	aspartate transaminase	OXA + Glu <=> Asp + OG		MATRIX * (KcF * KcR * v21_AspTA * (OXA * Glu - Asp * OG / Keq) / (KcR * KmS2 * OXA + KcR * KmS1 * Glu + KcF * KmP2 * Asp / Keq + KcF * KmP1 * OG / Keq + KcR * OXA * Glu + KcF * KmP2 * OXA * Asp / (Keq * KiS1) + KcF * Asp * OG / Keq + KcR * KmS1 * Glu * OG / KiP2))	True	2.6.1.1								
v22	aspartate/glutamate carrier	Glu_cyt + Asp <=> Asp_cyt + Glu		MATRIX * ((Asp * Glu_cyt / alpha / KiS1 / KiS2 * KcF - Glu * Asp_cyt / beta / KiP1 / KiP2 * KcR) * v22_AGC / (1 + Asp / KiS1 + Glu_cyt / KiS2 + Glu / KiP1 + Asp_cyt / KiP2 + Asp * Glu_cyt / alpha / KiS1 / KiS2 + Glu * Asp_cyt / beta / KiP1 / KiP2 + Glu_cyt * Asp_cyt / gamma / KiS2 / KiP2 + Asp * Glu / delta / KiS1 / KiP1))	True									
