
!!SBtab SBtabVersion='1.0' TableType='QuantityType' TableName='Jiang Result'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Value	!Mean	!Std	!Unit	!Provenance	!Type	!Reference	!lnMean	!lnStd
standard chemical potential		GLC	0.0194201185785	0.0194201185785	0.486215063464	kJ/mol	Balanced parameter value	Basic		0.0194201185785	0.486215063464
concentration		GLC	0.0412989720293	0.117457642766	0.312728622287	mM	Balanced parameter value	Basic		-3.18691766966	1.4458493505
chemical potential		GLC	-7.92938993308	-7.92938993308	3.6294704421	kJ/mol	Balanced parameter value	Derived		-7.92938993308	3.6294704421
standard chemical potential		F6P	0.0222123215657	0.0222123215657	0.706383185835	kJ/mol	Balanced parameter value	Basic		0.0222123215657	0.706383185835
concentration		F6P	0.0264953189714	0.0755635618988	0.201822194152	mM	Balanced parameter value	Basic		-3.63078720418	1.44776110372
chemical potential		F6P	-9.0336971231	-9.0336971231	3.67013039618	kJ/mol	Balanced parameter value	Derived		-9.0336971231	3.67013039618
standard chemical potential		FBP	0.0241616164239	0.0241616164239	1.03761211123	kJ/mol	Balanced parameter value	Basic		0.0241616164239	1.03761211123
concentration		FBP	0.0202607784287	0.0605293159909	0.17040079856	mM	Balanced parameter value	Basic		-3.89906835895	1.47948699858
chemical potential		FBP	-9.70089468447	-9.70089468447	3.82390127169	kJ/mol	Balanced parameter value	Derived		-9.70089468447	3.82390127169
standard chemical potential		GAP	0.0171073874921	0.0171073874921	0.486185941327	kJ/mol	Balanced parameter value	Basic		0.0171073874921	0.486185941327
concentration		GAP	0.0634481947243	0.130538930355	0.234713738171	mM	Balanced parameter value	Basic		-2.75753153717	1.20120585859
chemical potential		GAP	-6.86072777251	-6.86072777251	3.02746370317	kJ/mol	Balanced parameter value	Derived		-6.86072777251	3.02746370317
standard chemical potential		DPG	0.4031573044	0.4031573044	1.58312976177	kJ/mol	Balanced parameter value	Basic		0.4031573044	1.58312976177
concentration		DPG	0.0279017080721	0.0818857628143	0.225936683518	mM	Balanced parameter value	Basic		-3.5790673708	1.46740398756
chemical potential		DPG	-8.52375253186	-8.52375253186	3.97888295623	kJ/mol	Balanced parameter value	Derived		-8.52375253186	3.97888295623
standard chemical potential		PEP	0.401161038691	0.401161038691	1.53255966767	kJ/mol	Balanced parameter value	Basic		0.401161038691	1.53255966767
concentration		PEP	0.0261250702029	0.0743299256583	0.197987328131	mM	Balanced parameter value	Basic		-3.64485988151	1.44611081256
chemical potential		PEP	-8.68984847777	-8.68984847777	3.9102477652	kJ/mol	Balanced parameter value	Derived		-8.68984847777	3.9102477652
standard chemical potential		PYR_cyt	0.398870009629	0.398870009629	1.54958859188	kJ/mol	Balanced parameter value	Basic		0.398870009629	1.54958859188
concentration		PYR_cyt	0.0268163850257	0.0650312587868	0.143672004996	mM	Balanced parameter value	Basic		-3.61874219673	1.33105595409
chemical potential		PYR_cyt	-8.62699677745	-8.62699677745	3.65584133667	kJ/mol	Balanced parameter value	Derived		-8.62699677745	3.65584133667
standard chemical potential		AMP	-877.002448783	-877.002448783	387.29959983	kJ/mol	Balanced parameter value	Basic		-877.002448783	387.29959983
concentration		AMP	0.0262472440467	0.0879905611805	0.281547893637	mM	Balanced parameter value	Basic		-3.64019428415	1.55542184283
chemical potential		AMP	-886.081821366	-886.081821366	387.316048454	kJ/mol	Balanced parameter value	Derived		-886.081821366	387.316048454
standard chemical potential		LAC	0.0170000364152	0.0170000364152	0.486214279453	kJ/mol	Balanced parameter value	Basic		0.0170000364152	0.486214279453
concentration		LAC	0.0420356783804	0.119542156852	0.318245976725	mM	Balanced parameter value	Basic		-3.16923653606	1.44578722033
chemical potential		LAC	-7.88770973182	-7.88770973182	3.6293171726	kJ/mol	Balanced parameter value	Derived		-7.88770973182	3.6293171726
standard chemical potential		G3P	-877.118534167	-877.118534167	612.37358531	kJ/mol	Balanced parameter value	Basic		-877.118534167	612.37358531
concentration		G3P	0.026339293124	0.08031369186	0.231348074121	mM	Balanced parameter value	Basic		-3.63669341962	1.4932369242
chemical potential		G3P	-886.189174894	-886.189174894	612.380298998	kJ/mol	Balanced parameter value	Derived		-886.189174894	612.380298998
standard chemical potential		DHAP	-876.799440608	-876.799440608	612.37358531	kJ/mol	Balanced parameter value	Basic		-876.799440608	612.37358531
concentration		DHAP	0.0252555910495	0.0770092708161	0.221829504786	mM	Balanced parameter value	Basic		-3.67870772007	1.4932369242
chemical potential		DHAP	-885.974873403	-885.974873403	612.380298998	kJ/mol	Balanced parameter value	Derived		-885.974873403	612.380298998
standard chemical potential		OXA_cyt	0.433240160339	0.433240160339	2.19499705303	kJ/mol	Balanced parameter value	Basic		0.433240160339	2.19499705303
concentration		OXA_cyt	0.0251488778811	0.0681897138154	0.171858582934	mM	Balanced parameter value	Basic		-3.68294200049	1.41243084868
chemical potential		OXA_cyt	-8.75275377728	-8.75275377728	4.14288370911	kJ/mol	Balanced parameter value	Derived		-8.75275377728	4.14288370911
standard chemical potential		Asp_cyt	-858.609307153	-858.609307153	627.25459419	kJ/mol	Balanced parameter value	Basic		-858.609307153	627.25459419
concentration		Asp_cyt	0.0257385484936	0.0788924745356	0.22858589919	mM	Balanced parameter value	Basic		-3.65976546948	1.49672711877
chemical potential		Asp_cyt	-867.737494187	-867.737494187	627.260981441	kJ/mol	Balanced parameter value	Derived		-867.737494187	627.260981441
standard chemical potential		Glu_cyt	-895.308668089	-895.308668089	627.254594185	kJ/mol	Balanced parameter value	Basic		-895.308668089	627.254594185
concentration		Glu_cyt	0.0258450633236	0.0792189583119	0.229531865051	mM	Balanced parameter value	Basic		-3.65563567021	1.49672711877
chemical potential		Glu_cyt	-904.426554577	-904.426554577	627.260981436	kJ/mol	Balanced parameter value	Derived		-904.426554577	627.260981436
standard chemical potential		OG_cyt	-36.3024842512	-36.3024842512	271.647766486	kJ/mol	Balanced parameter value	Basic		-36.3024842512	271.647766486
concentration		OG_cyt	0.0256936975278	0.0692494899974	0.173318465829	mM	Balanced parameter value	Basic		-3.66150954954	1.40816906012
chemical potential		OG_cyt	-45.4350213696	-45.4350213696	271.66833265	kJ/mol	Balanced parameter value	Derived		-45.4350213696	271.66833265
standard chemical potential		Mal_cyt	0.0871482256911	0.0871482256911	1.45633304616	kJ/mol	Balanced parameter value	Basic		0.0871482256911	1.45633304616
concentration		Mal_cyt	0.0262522392724	0.0628909814476	0.136910405455	mM	Balanced parameter value	Basic		-3.64000398797	1.32185587959
chemical potential		Mal_cyt	-8.99174972109	-8.99174972109	3.59636230907	kJ/mol	Balanced parameter value	Derived		-8.99174972109	3.59636230907
standard chemical potential		Acetyl_CoA_cyt	-895.4809266	-895.4809266	627.254687321	kJ/mol	Balanced parameter value	Basic		-895.4809266	627.254687321
concentration		Acetyl_CoA_cyt	0.0258180628763	0.0868163097329	0.27872236354	mM	Balanced parameter value	Basic		-3.65668092053	1.55738251288
chemical potential		Acetyl_CoA_cyt	-904.601420152	-904.601420152	627.26198837	kJ/mol	Balanced parameter value	Derived		-904.601420152	627.26198837
standard chemical potential		CoA_cyt	-858.437049527	-858.437049527	627.254687318	kJ/mol	Balanced parameter value	Basic		-858.437049527	627.254687318
concentration		CoA_cyt	0.0257654657851	0.0866394457527	0.278154544581	mM	Balanced parameter value	Basic		-3.65872021915	1.55738251288
chemical potential		CoA_cyt	-867.562629498	-867.562629498	627.261988367	kJ/mol	Balanced parameter value	Derived		-867.562629498	627.261988367
standard chemical potential		IsoCitcyt	-36.6113766048	-36.6113766048	271.644709182	kJ/mol	Balanced parameter value	Basic		-36.6113766048	271.644709182
